t,px,py,vx,vy,hx,hy,ax,ay,action_hx,action_hy,ai_error_avg
1.611,0.855499,0.867925,0.341185,0.568063,0.285714,0.518000,0.960000,0.944000,-1.000000,0.000000,1.933240
1.628,0.849690,0.871410,0.341344,0.567995,0.281429,0.518000,0.960000,0.944000,-1.000000,0.000000,1.933376
1.644,0.843526,0.875109,0.341503,0.567927,0.275714,0.518000,0.960000,0.944000,-1.000000,0.000000,1.933321
1.659,0.837729,0.878586,0.341661,0.567859,0.265714,0.520000,0.960000,0.944000,-0.989949,0.141421,1.933029
1.676,0.831938,0.882061,0.341820,0.567792,0.255714,0.524000,0.960000,0.944000,-0.961524,0.274721,1.932485
1.692,0.826154,0.885532,0.341978,0.567724,0.244112,0.527610,0.960000,0.944000,-0.976187,0.216930,1.931650
1.708,0.820374,0.888999,0.342136,0.567656,0.232803,0.532731,0.960000,0.944000,-0.951465,0.307757,1.930543
1.725,0.814601,0.892463,0.342294,0.567588,0.221171,0.539616,0.960000,0.944000,-0.921062,0.389416,1.929193
1.742,0.808473,0.896140,0.342451,0.567521,0.211429,0.548000,0.960000,0.944000,-0.851915,0.523680,1.927608
1.758,0.802351,0.899813,0.342609,0.567453,0.202857,0.556000,0.960000,0.944000,-0.832050,0.554700,1.925801
1.774,0.796236,0.903483,0.342766,0.567386,0.194453,0.567766,0.960000,0.944000,-0.707107,0.707107,1.923777
1.792,0.790485,0.906933,0.342924,0.567318,0.185714,0.580000,0.960000,0.944000,-0.707107,0.707107,1.921538
1.808,0.784382,0.910595,0.343081,0.567251,0.178583,0.593312,0.960000,0.944000,-0.600000,0.800000,1.919098
1.825,0.778643,0.914038,0.343238,0.567184,0.172857,0.606000,0.960000,0.944000,-0.534113,0.845413,1.916510
1.840,0.772552,0.917693,0.343394,0.567117,0.168571,0.616000,0.960000,0.944000,-0.514496,0.857493,1.913819
1.857,0.766824,0.921129,0.343551,0.567050,0.165714,0.624000,0.960000,0.944000,-0.447214,0.894427,1.911025
1.872,0.761103,0.924562,0.343707,0.566983,0.164286,0.638000,0.960000,0.944000,-0.141421,0.989949,1.908129
1.889,0.755387,0.927992,0.343864,0.566916,0.161429,0.648000,0.960000,0.944000,-0.371391,0.928477,1.905123
1.905,0.749320,0.931632,0.344020,0.566849,0.161429,0.654000,0.960000,0.944000,0.000000,1.000000,1.902048
1.922,0.743615,0.935055,0.344176,0.566782,0.161429,0.660000,0.960000,0.944000,0.000000,1.000000,1.898910
1.938,0.737917,0.938474,0.344332,0.566715,0.161429,0.660000,0.960000,0.944000,0.000000,0.000000,1.895705
1.956,0.731868,0.942103,0.344487,0.566648,0.161429,0.662000,0.960000,0.944000,0.000000,1.000000,1.892425
1.972,0.725825,0.945729,0.344643,0.566582,0.161429,0.662000,0.960000,0.944000,0.000000,0.000000,1.889088
1.988,0.720144,0.949138,0.344798,0.566515,0.161429,0.662000,0.960000,0.944000,0.000000,0.000000,1.885706
2.005,0.714113,0.952756,0.344953,0.566449,0.161429,0.662000,0.960000,0.944000,0.000000,0.000000,1.882276
2.023,0.708088,0.956371,0.345108,0.566382,0.161429,0.662000,0.960000,0.944000,0.000000,0.000000,1.878804
2.040,0.702070,0.959982,0.345263,0.566316,0.162857,0.660000,0.960000,0.944000,0.707107,-0.707107,1.875314
2.056,0.696057,0.963590,0.345418,0.566249,0.170000,0.650000,0.960000,0.944000,0.707107,-0.707107,1.871891
2.072,0.690404,0.966982,0.345573,0.566183,0.174286,0.644000,0.960000,0.944000,0.707107,-0.707107,1.868498
2.088,0.684756,0.970370,0.345727,0.566117,0.181528,0.629516,0.960000,0.944000,0.573462,-0.819232,1.865174
2.105,0.678761,0.973967,0.345881,0.566051,0.189594,0.615912,0.960000,0.944000,0.638731,-0.769430,1.861894
2.122,0.672773,0.976000,0.346036,0.434015,0.196753,0.602629,0.960000,0.944000,0.602287,-0.798279,1.858468
2.138,0.667142,0.972622,0.346189,0.434081,0.204108,0.588258,0.960000,0.944000,0.582462,-0.812858,1.855274
2.155,0.661165,0.969036,0.346343,0.434147,0.210740,0.573212,0.960000,0.944000,0.525158,-0.851005,1.852325
2.172,0.655195,0.965453,0.346497,0.434213,0.216977,0.559047,0.960000,0.944000,0.524722,-0.851274,1.849618
2.190,0.649581,0.962085,0.346650,0.434279,0.223506,0.542710,0.960000,0.944000,0.488318,-0.872666,1.847161
2.206,0.643272,0.958299,0.346804,0.434345,0.229104,0.528032,0.960000,0.944000,0.470974,-0.882147,1.844876
2.222,0.637669,0.954938,0.346957,0.434410,0.234019,0.512881,0.960000,0.944000,0.413498,-0.910505,1.842677
2.239,0.632072,0.951580,0.347110,0.434476,0.239325,0.495698,0.960000,0.944000,0.396833,-0.917891,1.840549
2.256,0.625782,0.947805,0.347263,0.434541,0.243659,0.480204,0.960000,0.944000,0.364645,-0.931147,1.838465
2.272,0.620196,0.944454,0.347416,0.434607,0.247316,0.464370,0.960000,0.944000,0.307615,-0.951511,1.836415
2.289,0.614616,0.941106,0.347568,0.434672,0.250588,0.447294,0.960000,0.944000,0.259136,-0.965841,1.834390
2.306,0.608693,0.937552,0.347721,0.434737,0.252451,0.429808,0.960000,0.944000,0.147547,-0.989055,1.832372
2.322,0.602776,0.934002,0.347873,0.434803,0.251429,0.426000,0.960000,0.944000,-0.351983,-0.936006,1.830355
2.339,0.596864,0.930455,0.348025,0.434868,0.245714,0.432000,0.960000,0.944000,-0.800000,0.600000,1.828303
2.355,0.591306,0.927120,0.348177,0.434933,0.238571,0.446000,0.960000,0.944000,-0.581238,0.813733,1.826215
2.372,0.585407,0.923581,0.348329,0.434998,0.233036,0.460725,0.960000,0.944000,-0.465746,0.884918,1.824107
2.388,0.579860,0.920252,0.348481,0.435063,0.226942,0.476210,0.960000,0.944000,-0.482558,0.875864,1.821972
2.406,0.573973,0.916720,0.348632,0.435128,0.221311,0.492036,0.960000,0.944000,-0.445836,0.895115,1.819837
2.422,0.568091,0.913191,0.348783,0.435193,0.216006,0.506926,0.960000,0.944000,-0.446342,0.894863,1.817700
2.438,0.562561,0.909873,0.348935,0.435258,0.210937,0.521977,0.960000,0.944000,-0.426506,0.904485,1.815541
2.454,0.557036,0.906558,0.349086,0.435322,0.206037,0.537137,0.960000,0.944000,-0.412241,0.911075,1.813367
2.470,0.551517,0.903246,0.349237,0.435387,0.201397,0.552457,0.960000,0.944000,-0.390390,0.920650,1.811184
2.486,0.546003,0.899938,0.349387,0.435452,0.197148,0.567998,0.960000,0.944000,-0.357467,0.933926,1.808996
2.502,0.540495,0.896633,0.349538,0.435516,0.193159,0.583672,0.960000,0.944000,-0.335683,0.941975,1.806824
2.518,0.534992,0.893332,0.349688,0.435581,0.189302,0.599412,0.960000,0.944000,-0.324443,0.945905,1.804683
2.534,0.529495,0.890034,0.349839,0.435645,0.185163,0.616115,0.960000,0.944000,-0.327788,0.944751,1.802571
2.551,0.523660,0.886533,0.349989,0.435710,0.181454,0.631924,0.960000,0.944000,-0.312039,0.950069,1.800491
2.567,0.518174,0.883241,0.350139,0.435774,0.177513,0.648721,0.959972,0.944000,-0.312039,0.950069,1.798437
2.584,0.512351,0.879747,0.350289,0.435838,0.173861,0.664556,0.959858,0.944000,-0.307305,0.951611,1.796396
2.600,0.506876,0.876462,0.350439,0.435902,0.170208,0.680391,0.959670,0.944000,-0.307305,0.951611,1.794369
2.616,0.501406,0.873180,0.350588,0.435966,0.166556,0.696226,0.959409,0.944000,-0.307305,0.951611,1.792356
2.632,0.495942,0.869902,0.350738,0.436030,0.162675,0.713050,0.959048,0.944000,-0.307305,0.951611,1.790356
2.649,0.490142,0.866422,0.350887,0.436094,0.158898,0.728828,0.958632,0.944000,-0.317760,0.948171,1.788369
2.665,0.484689,0.863150,0.351036,0.436158,0.155101,0.745690,0.958101,0.944000,-0.300662,0.953731,1.786392
2.682,0.478901,0.859677,0.351185,0.436222,0.152857,0.750000,0.957465,0.944000,-0.589041,0.808103,1.784404
2.699,0.473458,0.856411,0.351334,0.436286,0.155714,0.736000,0.956973,0.944000,0.274721,-0.961524,1.782518
2.716,0.467681,0.852945,0.351482,0.436350,0.157973,0.718605,0.956543,0.944000,0.178885,-0.983870,1.780690
2.732,0.461911,0.849483,0.351631,0.436413,0.159595,0.702121,0.956182,0.944000,0.136411,-0.990652,1.778914
2.749,0.456484,0.846227,0.351779,0.436477,0.162509,0.684918,0.955873,0.944000,0.230785,-0.973005,1.777196
2.766,0.450725,0.842771,0.351927,0.436540,0.165103,0.666554,0.955617,0.944000,0.193995,-0.981002,1.775534
2.783,0.444633,0.839116,0.352076,0.436604,0.168054,0.650435,0.955458,0.944000,0.248260,-0.968693,1.773928
