t,px,py,vx,vy,hx,hy,ax,ay,action_hx,action_hy
1.215,0.898800,0.950067,0.337326,0.569718,0.072931,0.557879,0.855042,0.944000,-0.060859,0.998146
1.233,0.900769,0.954814,0.510114,0.582943,0.073529,0.540232,0.851645,0.944000,0.060859,-0.998146
1.250,0.901074,0.959326,0.510103,0.582860,0.076227,0.557231,0.848344,0.944000,0.274758,0.961513
1.266,0.901380,0.963833,0.510093,0.582778,0.073687,0.541232,0.845174,0.944000,-0.274758,-0.961513
1.282,0.901667,0.968072,0.510083,0.582695,0.076227,0.557231,0.842085,0.944000,0.274758,0.961513
1.299,0.901953,0.972306,0.510073,0.582612,0.073529,0.540232,0.838735,0.944000,-0.274758,-0.961513
1.315,0.902258,0.976000,0.510063,0.417471,0.076069,0.556231,0.836607,0.944000,0.274758,0.961513
1.332,0.902544,0.971775,0.510053,0.417553,0.073370,0.539232,0.834390,0.944000,-0.274758,-0.961513
1.348,0.902848,0.967289,0.510043,0.417636,0.075910,0.555231,0.832066,0.944000,0.274758,0.961513
1.365,0.903134,0.963072,0.510033,0.417718,0.073052,0.537232,0.829494,0.944000,-0.274758,-0.961513
1.383,0.903455,0.958333,0.510023,0.417800,0.075751,0.554231,0.826874,0.944000,0.274758,0.961513
1.399,0.903758,0.953861,0.510013,0.417882,0.073211,0.538232,0.824396,0.944000,-0.274758,-0.961513
1.416,0.904042,0.949657,0.510003,0.417964,0.075910,0.555231,0.821642,0.944000,0.274758,0.961513
1.433,0.904345,0.945194,0.509993,0.418047,0.073211,0.538232,0.818882,0.944000,-0.274758,-0.961513
1.449,0.904647,0.940736,0.509983,0.418128,0.075751,0.554231,0.816161,0.944000,0.274758,0.961513
1.465,0.904931,0.936544,0.509973,0.418210,0.073211,0.538232,0.813442,0.944000,-0.274758,-0.961513
1.481,0.905214,0.932356,0.509963,0.418292,0.075751,0.554231,0.810593,0.944000,0.274758,0.961513
1.497,0.905498,0.928173,0.509953,0.418374,0.073211,0.538232,0.807754,0.944000,-0.274758,-0.961513
1.513,0.905781,0.923994,0.509943,0.418455,0.075751,0.554231,0.804776,0.944000,0.274758,0.961513
1.530,0.906064,0.919819,0.509933,0.418537,0.073052,0.537232,0.801634,0.944000,-0.274758,-0.961513
1.546,0.906364,0.915387,0.509923,0.418618,0.075592,0.553231,0.798526,0.944000,0.274758,0.961513
1.563,0.906646,0.911220,0.509913,0.418700,0.072894,0.536232,0.795253,0.944000,-0.274758,-0.961513
1.580,0.906946,0.906797,0.509903,0.418781,0.075592,0.553231,0.791805,0.944000,0.274758,0.961513
1.596,0.907245,0.902379,0.509893,0.418862,0.073052,0.537232,0.788586,0.944000,-0.274758,-0.961513
1.612,0.907526,0.898225,0.509883,0.418944,0.075751,0.554231,0.784981,0.944000,0.274758,0.961513
1.629,0.907825,0.893815,0.509874,0.419025,0.073211,0.538232,0.781624,0.944000,-0.274758,-0.961513
1.645,0.908106,0.889670,0.509864,0.419106,0.075751,0.554231,0.778089,0.944000,0.274758,0.961513
1.662,0.908387,0.885528,0.509854,0.419186,0.073052,0.537232,0.774390,0.944000,-0.274758,-0.961513
1.679,0.908684,0.881131,0.509844,0.419267,0.075751,0.554231,0.770479,0.944000,0.274758,0.961513
1.695,0.908982,0.876740,0.509834,0.419348,0.073211,0.538232,0.766851,0.944000,-0.274758,-0.961513
1.712,0.909262,0.872610,0.509824,0.419429,0.076069,0.556231,0.762524,0.944000,0.274758,0.961513
1.729,0.909576,0.867969,0.509815,0.419509,0.073529,0.540232,0.758737,0.944000,-0.274758,-0.961513
1.745,0.909855,0.863848,0.509805,0.419590,0.076227,0.557231,0.754478,0.944000,0.274758,0.961513
1.762,0.910151,0.859474,0.509795,0.419670,0.073687,0.541232,0.750536,0.944000,-0.274758,-0.961513
1.779,0.910430,0.855361,0.509785,0.419750,0.076386,0.558231,0.746167,0.944000,0.274758,0.961513
1.795,0.910726,0.850995,0.509775,0.419831,0.073687,0.541232,0.741790,0.944000,-0.274758,-0.961513
1.812,0.911021,0.846634,0.509766,0.419911,0.076386,0.558231,0.737292,0.944000,0.274758,0.961513
1.829,0.911316,0.842277,0.509756,0.419991,0.073846,0.542232,0.733011,0.944000,-0.274758,-0.961513
1.845,0.911594,0.838181,0.509746,0.420071,0.076386,0.558231,0.728621,0.944000,0.274758,0.961513
